user_id,house_id,watchlist_clicked
1,1000,1
1,1001,0
1,1002,0
1,1003,0
1,1004,1
1,1005,0
1,1006,1
1,1007,0
1,1008,0
1,1009,0
1,1010,0
1,1011,0
1,1012,0
1,1013,1
1,1014,1
1,1015,1
1,1016,1
1,1017,0
1,1018,0
1,1019,1
1,1020,0
1,1021,1
1,1022,1
1,1023,1
1,1024,0
1,1025,0
1,1026,1
1,1027,0
1,1028,0
1,1029,0
1,1030,0
1,1031,1
1,1032,0
1,1033,0
1,1034,0
1,1035,0
1,1036,1
1,1037,0
1,1038,0
1,1039,0
1,1040,1
1,1041,0
1,1042,1
1,1043,0
1,1044,1
1,1045,0
1,1046,1
1,1047,0
1,1048,0
1,1049,0
1,1050,0
1,1051,0
1,1052,0
1,1053,0
1,1054,0
1,1055,0
1,1056,0
1,1057,0
1,1058,0
1,1059,0
1,1060,1
1,1061,1
1,1062,0
1,1063,1
1,1064,1
1,1065,0
1,1066,1
1,1067,0
1,1068,1
1,1069,0
1,1070,0
1,1071,0
1,1072,1
1,1073,1
1,1074,0
1,1075,0
1,1076,0
1,1077,0
1,1078,0
1,1079,1
1,1080,0
1,1081,0
1,1082,1
1,1083,1
1,1084,0
1,1085,1
1,1086,0
1,1087,0
1,1088,0
1,1089,0
1,1090,1
1,1091,0
1,1092,0
1,1093,0
1,1094,0
1,1095,0
1,1096,1
1,1097,0
1,1098,0
1,1099,0
1,1100,0
1,1101,0
1,1102,0
1,1103,0
1,1104,0
1,1105,0
1,1106,0
1,1107,0
1,1108,1
1,1109,1
1,1110,1
1,1111,1
1,1112,0
1,1113,0
1,1114,0
1,1115,0
1,1116,0
1,1117,1
1,1118,0
1,1119,0
1,1120,0
1,1121,0
1,1122,0
1,1123,0
1,1124,0
1,1125,0
1,1126,0
1,1127,0
1,1128,1
1,1129,0
1,1130,0
1,1131,1
1,1132,0
1,1133,0
1,1134,0
1,1135,0
1,1136,0
1,1137,0
1,1138,1
1,1139,1
1,1140,0
1,1141,1
1,1142,0
1,1143,1
1,1144,0
1,1145,1
1,1146,0
1,1147,0
1,1148,0
1,1149,1
1,1150,0
1,1151,1
1,1152,1
1,1153,0
1,1154,0
1,1155,1
1,1156,0
1,1157,0
1,1158,1
1,1159,0
1,1160,1
1,1161,0
1,1162,0
1,1163,0
1,1164,0
1,1165,0
1,1166,1
1,1167,1
1,1168,1
1,1169,0
1,1170,0
1,1171,1
1,1172,0
1,1173,1
1,1174,0
1,1175,0
1,1176,0
1,1177,1
1,1178,0
1,1179,1
1,1180,0
1,1181,0
1,1182,0
1,1183,0
1,1184,0
1,1185,0
1,1186,0
1,1187,0
1,1188,0
1,1189,1
1,1190,0
1,1191,0
1,1192,0
1,1193,0
1,1194,0
1,1195,0
1,1196,0
1,1197,1
1,1198,0
1,1199,0
2,1000,0
2,1001,0
2,1002,0
2,1003,0
2,1004,0
2,1005,0
2,1006,0
2,1007,0
2,1008,0
2,1009,1
2,1010,0
2,1011,0
2,1012,0
2,1013,0
2,1014,0
2,1015,0
2,1016,0
2,1017,0
2,1018,0
2,1019,0
2,1020,0
2,1021,0
2,1022,0
2,1023,0
2,1024,0
2,1025,1
2,1026,0
2,1027,0
2,1028,0
2,1029,0
2,1030,0
2,1031,0
2,1032,0
2,1033,0
2,1034,0
2,1035,0
2,1036,0
2,1037,1
2,1038,1
2,1039,0
2,1040,0
2,1041,0
2,1042,0
2,1043,0
2,1044,0
2,1045,0
2,1046,0
2,1047,0
2,1048,0
2,1049,0
2,1050,0
2,1051,0
2,1052,0
2,1053,0
2,1054,0
2,1055,0
2,1056,0
2,1057,0
2,1058,0
2,1059,0
2,1060,0
2,1061,0
2,1062,0
2,1063,0
2,1064,0
2,1065,0
2,1066,0
2,1067,0
2,1068,0
2,1069,0
2,1070,0
2,1071,0
2,1072,0
2,1073,0
2,1074,0
2,1075,1
2,1076,1
2,1077,1
2,1078,0
2,1079,0
2,1080,0
2,1081,0
2,1082,0
2,1083,0
2,1084,0
2,1085,0
2,1086,0
2,1087,1
2,1088,0
2,1089,0
2,1090,0
2,1091,1
2,1092,0
2,1093,0
2,1094,0
2,1095,0
2,1096,0
2,1097,0
2,1098,0
2,1099,0
2,1100,0
2,1101,1
2,1102,0
2,1103,0
2,1104,0
2,1105,0
2,1106,0
2,1107,0
2,1108,0
2,1109,0
2,1110,0
2,1111,0
2,1112,0
2,1113,0
2,1114,0
2,1115,0
2,1116,0
2,1117,0
2,1118,0
2,1119,0
2,1120,0
2,1121,0
2,1122,0
2,1123,0
2,1124,0
2,1125,0
2,1126,0
2,1127,0
2,1128,0
2,1129,0
2,1130,0
2,1131,0
2,1132,0
2,1133,0
2,1134,0
2,1135,0
2,1136,0
2,1137,0
2,1138,0
2,1139,0
2,1140,0
2,1141,0
2,1142,0
2,1143,0
2,1144,0
2,1145,0
2,1146,1
2,1147,0
2,1148,0
2,1149,0
2,1150,0
2,1151,0
2,1152,0
2,1153,1
2,1154,1
2,1155,0
2,1156,0
2,1157,1
2,1158,0
2,1159,0
2,1160,0
2,1161,0
2,1162,1
2,1163,0
2,1164,0
2,1165,0
2,1166,0
2,1167,0
2,1168,0
2,1169,0
2,1170,0
2,1171,0
2,1172,0
2,1173,0
2,1174,0
2,1175,0
2,1176,1
2,1177,0
2,1178,0
2,1179,0
2,1180,0
2,1181,0
2,1182,0
2,1183,0
2,1184,0
2,1185,0
2,1186,0
2,1187,0
2,1188,0
2,1189,0
2,1190,0
2,1191,0
2,1192,0
2,1193,1
2,1194,0
2,1195,0
2,1196,0
2,1197,0
2,1198,0
2,1199,1
3,1000,0
3,1001,0
3,1002,1
3,1003,0
3,1004,0
3,1005,0
3,1006,0
3,1007,0
3,1008,1
3,1009,1
3,1010,0
3,1011,0
3,1012,0
3,1013,0
3,1014,0
3,1015,0
3,1016,0
3,1017,0
3,1018,0
3,1019,0
3,1020,0
3,1021,0
3,1022,0
